ClientInternal,InvestmentId,Currency,CompanyName,Sector,InvestmentDate,InvestmentAmount,OwnershipStake,ExitStrategy,FundName,Geography,ProjectedIRR,BoardSeat,DataQualityStatus,DataOwner,WatchList,InternalRating,NetDebt,EBITDA,InterestExpense,LiquidityBalance
PGT00001,SpaceX (Series A Investment),USD,SpaceX,Industrial,2020-03-31,35000000,0.17,Strategic Sale,Technology Growth II,North America,0.21,TRUE,Silver,Investment Committee,FALSE,2,250000000,45000000,12500000,75000000
PGT00002,Stripe (Series B Investment),USD,Stripe,Financial,2020-06-29,60000000,0.19,Secondary Sale,Digital Expansion Fund,North America,0.22,FALSE,Bronze,Portfolio Management,FALSE,3,180000000,65000000,9000000,120000000
PGT00003,Epic Games (Series C Investment),USD,Epic Games,Technology,2020-09-27,85000000,0.21,Management Buyout,Innovation Growth III,North America,0.23,TRUE,Gold,Deal Team,FALSE,4,150000000,85000000,7500000,95000000
PGT00004,Instacart (Series D Investment),USD,Instacart,Consumer Discretionary,2020-12-26,110000000,0.23,SPAC Merger,Scale-Up Opportunities Fund,North America,0.24,TRUE,Silver,Private Equity Team,TRUE,5,200000000,55000000,10000000,85000000
PGT00005,Databricks (Series E Investment),USD,Databricks,Technology,2021-03-26,135000000,0.25,IPO,Growth Fund I,North America,0.25,FALSE,Bronze,Investment Committee,FALSE,1,220000000,75000000,11000000,110000000
PGT00006,Plaid (Series A Investment),USD,Plaid,Financial,2021-06-24,16000000,0.27,Strategic Sale,Technology Growth II,North America,0.26,TRUE,Gold,Portfolio Management,FALSE,2,120000000,35000000,6000000,45000000
PGT00007,Chime (Series B Investment),USD,Chime,Financial,2021-09-22,185000000,0.29,Secondary Sale,Digital Expansion Fund,North America,0.27,TRUE,Silver,Deal Team,FALSE,3,280000000,95000000,14000000,150000000
PGT00008,Discord (Series C Investment),USD,Discord,Communication Services,2021-12-21,210000000,0.31,Management Buyout,Innovation Growth III,North America,0.28,FALSE,Bronze,Private Equity Team,TRUE,4,175000000,60000000,8750000,90000000
PGT00009,Notion (Series D Investment),USD,Notion,Technology,2022-03-21,235000000,0.33,SPAC Merger,Scale-Up Opportunities Fund,North America,0.29,TRUE,Gold,Investment Committee,FALSE,5,190000000,70000000,9500000,105000000
PGT00010,Fanatics (Series E Investment),USD,Fanatics,Consumer Discretionary,2022-06-19,260000000,0.35,IPO,Growth Fund I,North America,0.3,TRUE,Silver,Portfolio Management,FALSE,1,310000000,105000000,15500000,165000000
PGT00011,Rain (Series A Investment),ZAR,Rain,Communication Services,2022-09-17,285000000,0.37,Strategic Sale,Technology Growth II,Africa,0.31,FALSE,Bronze,Deal Team,FALSE,2,4200000000,850000000,210000000,1250000000
PGT00012,Yoco (Series B Investment),ZAR,Yoco,Financial,2022-12-16,310000000,0.39,Secondary Sale,Digital Expansion Fund,Africa,0.32,TRUE,Gold,Private Equity Team,TRUE,3,3800000000,750000000,190000000,1100000000
PGT00013,Aerobotics (Series C Investment),ZAR,Aerobotics,Technology,2023-03-16,335000000,0.41,Management Buyout,Innovation Growth III,Africa,0.33,TRUE,Silver,Investment Committee,FALSE,4,2900000000,580000000,145000000,850000000
PGT00014,SweepSouth (Series D Investment),ZAR,SweepSouth,Consumer Discretionary,2023-06-14,360000000,0.43,SPAC Merger,Scale-Up Opportunities Fund,Africa,0.34,FALSE,Bronze,Portfolio Management,FALSE,5,2500000000,500000000,125000000,750000000
PGT00015,Paystack (Series E Investment),GBP,Paystack,Financial,2023-09-12,385000000,0.45,IPO,Growth Fund I,Europe,0.35,TRUE,Gold,Deal Team,FALSE,1,220000000,65000000,11000000,95000000
PGT00016,Revolut (Series A Investment),GBP,Revolut,Financial,2023-12-11,410000000,0.47,Strategic Sale,Technology Growth II,Europe,0.36,TRUE,Silver,Private Equity Team,TRUE,2,280000000,85000000,14000000,120000000
PGT00017,Monzo (Series B Investment),GBP,Monzo,Financial,2024-03-10,435000000,0.49,Secondary Sale,Digital Expansion Fund,Europe,0.37,FALSE,Bronze,Investment Committee,FALSE,3,250000000,75000000,12500000,110000000
PGT00018,Deliveroo (Series C Investment),GBP,Deliveroo,Consumer Discretionary,2024-06-08,460000000,0.15,Management Buyout,Innovation Growth III,Europe,0.38,TRUE,Gold,Portfolio Management,FALSE,4,320000000,95000000,16000000,140000000
PGT00019,OakNorth (Series D Investment),GBP,OakNorth,Financial,2024-09-06,485000000,0.17,SPAC Merger,Scale-Up Opportunities Fund,Europe,0.39,TRUE,Silver,Deal Team,FALSE,5,350000000,105000000,17500000,155000000
